survived,pclass,sex,age,sibsp,parch,fare,class,who,embark_town
0,3,male,22.0,1,0,7.25,Third,man,Southampton
1,1,female,38.0,1,0,71.2833,First,woman,Cherbourg
1,3,female,26.0,0,0,7.925,Third,woman,Southampton
1,1,female,35.0,1,0,53.1,First,woman,Southampton
0,3,male,35.0,0,0,8.05,Third,man,Southampton
0,3,male,,0,0,8.4583,Third,man,Queenstown
0,1,male,54.0,0,0,51.8625,First,man,Southampton
0,3,male,2.0,3,1,21.075,Third,child,Southampton
1,3,female,27.0,0,2,11.1333,Third,woman,Southampton
1,2,female,14.0,1,0,30.0708,Second,child,Cherbourg
1,3,female,4.0,1,1,16.7,Third,child,Southampton
1,1,female,58.0,0,0,26.55,First,woman,Southampton
0,3,male,20.0,0,0,8.05,Third,man,Southampton
0,3,male,39.0,1,5,31.275,Third,man,Southampton
0,3,female,14.0,0,0,7.8542,Third,child,Southampton
1,2,female,55.0,0,0,16.0,Second,woman,Southampton
0,3,male,2.0,4,1,29.125,Third,child,Queenstown
1,2,male,,0,0,13.0,Second,man,Southampton
0,3,female,31.0,1,0,18.0,Third,woman,Southampton
1,3,female,,0,0,7.225,Third,woman,Cherbourg
0,2,male,35.0,0,0,26.0,Second,man,Southampton
1,2,male,34.0,0,0,13.0,Second,man,Southampton
1,3,female,15.0,0,0,8.0292,Third,child,Queenstown
1,1,male,28.0,0,0,35.5,First,man,Southampton
0,3,female,8.0,3,1,21.075,Third,child,Southampton
1,3,female,38.0,1,5,31.3875,Third,woman,Southampton
0,3,male,,0,0,7.225,Third,man,Cherbourg
0,1,male,19.0,3,2,263.0,First,man,Southampton
1,3,female,,0,0,7.8792,Third,woman,Queenstown
0,3,male,,0,0,7.8958,Third,man,Southampton
0,1,male,40.0,0,0,27.7208,First,man,Cherbourg
1,1,female,,1,0,146.5208,First,woman,Cherbourg
1,3,female,,0,0,7.75,Third,woman,Queenstown
0,2,male,66.0,0,0,10.5,Second,man,Southampton
0,1,male,28.0,1,0,82.1708,First,man,Cherbourg
0,1,male,42.0,1,0,52.0,First,man,Southampton
1,3,male,,0,0,7.2292,Third,man,Cherbourg
0,3,male,21.0,0,0,8.05,Third,man,Southampton
0,3,female,18.0,2,0,18.0,Third,woman,Southampton
1,3,female,14.0,1,0,11.2417,Third,child,Cherbourg
0,3,female,40.0,1,0,9.475,Third,woman,Southampton
0,2,female,27.0,1,0,21.0,Second,woman,Southampton
0,3,male,,0,0,7.8958,Third,man,Cherbourg
1,2,female,3.0,1,2,41.5792,Second,child,Cherbourg
1,3,female,19.0,0,0,7.8792,Third,woman,Queenstown
0,3,male,,0,0,8.05,Third,man,Southampton
0,3,male,,1,0,15.5,Third,man,Queenstown
1,3,female,,0,0,7.75,Third,woman,Queenstown
0,3,male,,2,0,21.6792,Third,man,Cherbourg
0,3,female,18.0,1,0,17.8,Third,woman,Southampton
0,3,male,7.0,4,1,39.6875,Third,child,Southampton
0,3,male,21.0,0,0,7.8,Third,man,Southampton
1,1,female,49.0,1,0,76.7292,First,woman,Cherbourg
1,2,female,29.0,1,0,26.0,Second,woman,Southampton
0,1,male,65.0,0,1,61.9792,First,man,Cherbourg
1,1,male,,0,0,35.5,First,man,Southampton
1,2,female,21.0,0,0,10.5,Second,woman,Southampton
0,3,male,28.5,0,0,7.2292,Third,man,Cherbourg
1,2,female,5.0,1,2,27.75,Second,child,Southampton
0,3,male,11.0,5,2,46.9,Third,child,Southampton
0,3,male,22.0,0,0,7.2292,Third,man,Cherbourg
1,1,female,38.0,0,0,80.0,First,woman,
0,1,male,45.0,1,0,83.475,First,man,Southampton
0,3,male,4.0,3,2,27.9,Third,child,Southampton
0,1,male,,0,0,27.7208,First,man,Cherbourg
1,3,male,,1,1,15.2458,Third,man,Cherbourg
1,2,female,29.0,0,0,10.5,Second,woman,Southampton
0,3,male,19.0,0,0,8.1583,Third,man,Southampton
1,3,female,17.0,4,2,7.925,Third,woman,Southampton
0,3,male,26.0,2,0,8.6625,Third,man,Southampton
0,2,male,32.0,0,0,10.5,Second,man,Southampton
0,3,female,16.0,5,2,46.9,Third,woman,Southampton
0,2,male,21.0,0,0,73.5,Second,man,Southampton
0,3,male,26.0,1,0,14.4542,Third,man,Cherbourg
1,3,male,32.0,0,0,56.4958,Third,man,Southampton
0,3,male,25.0,0,0,7.65,Third,man,Southampton
0,3,male,,0,0,7.8958,Third,man,Southampton
0,3,male,,0,0,8.05,Third,man,Southampton
1,2,male,0.83,0,2,29.0,Second,child,Southampton
1,3,female,30.0,0,0,12.475,Third,woman,Southampton
0,3,male,22.0,0,0,9.0,Third,man,Southampton
1,3,male,29.0,0,0,9.5,Third,man,Southampton
1,3,female,,0,0,7.7875,Third,woman,Queenstown
0,1,male,28.0,0,0,47.1,First,man,Southampton
1,2,female,17.0,0,0,10.5,Second,woman,Southampton
1,3,female,33.0,3,0,15.85,Third,woman,Southampton
0,3,male,16.0,1,3,34.375,Third,man,Southampton
0,3,male,,0,0,8.05,Third,man,Southampton
1,1,female,23.0,3,2,263.0,First,woman,Southampton
0,3,male,24.0,0,0,8.05,Third,man,Southampton
0,3,male,29.0,0,0,8.05,Third,man,Southampton
0,3,male,20.0,0,0,7.8542,Third,man,Southampton
0,1,male,46.0,1,0,61.175,First,man,Southampton
0,3,male,26.0,1,2,20.575,Third,man,Southampton
0,3,male,59.0,0,0,7.25,Third,man,Southampton
0,3,male,,0,0,8.05,Third,man,Southampton
0,1,male,71.0,0,0,34.6542,First,man,Cherbourg
1,1,male,23.0,0,1,63.3583,First,man,Cherbourg
1,2,female,34.0,0,1,23.0,Second,woman,Southampton
0,2,male,34.0,1,0,26.0,Second,man,Southampton
0,3,female,28.0,0,0,7.8958,Third,woman,Southampton
0,3,male,,0,0,7.8958,Third,man,Southampton
0,1,male,21.0,0,1,77.2875,First,man,Southampton
0,3,male,33.0,0,0,8.6542,Third,man,Southampton
0,3,male,37.0,2,0,7.925,Third,man,Southampton
0,3,male,28.0,0,0,7.8958,Third,man,Southampton
1,3,female,21.0,0,0,7.65,Third,woman,Southampton
1,3,male,,0,0,7.775,Third,man,Southampton
0,3,male,38.0,0,0,7.8958,Third,man,Southampton
1,3,female,,1,0,24.15,Third,woman,Queenstown
0,1,male,47.0,0,0,52.0,First,man,Southampton
0,3,female,14.5,1,0,14.4542,Third,child,Cherbourg
0,3,male,22.0,0,0,8.05,Third,man,Southampton
0,3,female,20.0,1,0,9.825,Third,woman,Southampton
0,3,female,17.0,0,0,14.4583,Third,woman,Cherbourg
0,3,male,21.0,0,0,7.925,Third,man,Southampton
0,3,male,70.5,0,0,7.75,Third,man,Queenstown
0,2,male,29.0,1,0,21.0,Second,man,Southampton
0,1,male,24.0,0,1,247.5208,First,man,Cherbourg
0,3,female,2.0,4,2,31.275,Third,child,Southampton
0,2,male,21.0,2,0,73.5,Second,man,Southampton
0,3,male,,0,0,8.05,Third,man,Southampton
0,2,male,32.5,1,0,30.0708,Second,man,Cherbourg
1,2,female,32.5,0,0,13.0,Second,woman,Southampton
0,1,male,54.0,0,1,77.2875,First,man,Southampton
1,3,male,12.0,1,0,11.2417,Third,child,Cherbourg
0,3,male,,0,0,7.75,Third,man,Queenstown
1,3,male,24.0,0,0,7.1417,Third,man,Southampton
1,3,female,,1,1,22.3583,Third,woman,Cherbourg
0,3,male,45.0,0,0,6.975,Third,man,Southampton
0,3,male,33.0,0,0,7.8958,Third,man,Cherbourg
0,3,male,20.0,0,0,7.05,Third,man,Southampton
0,3,female,47.0,1,0,14.5,Third,woman,Southampton
1,2,female,29.0,1,0,26.0,Second,woman,Southampton
0,2,male,25.0,0,0,13.0,Second,man,Southampton
0,2,male,23.0,0,0,15.0458,Second,man,Cherbourg
1,1,female,19.0,0,2,26.2833,First,woman,Southampton
0,1,male,37.0,1,0,53.1,First,man,Southampton
0,3,male,16.0,0,0,9.2167,Third,man,Southampton
0,1,male,24.0,0,0,79.2,First,man,Cherbourg
0,3,female,,0,2,15.2458,Third,woman,Cherbourg
1,3,female,22.0,0,0,7.75,Third,woman,Southampton
1,3,female,24.0,1,0,15.85,Third,woman,Southampton
0,3,male,19.0,0,0,6.75,Third,man,Queenstown
0,2,male,18.0,0,0,11.5,Second,man,Southampton
0,2,male,19.0,1,1,36.75,Second,man,Southampton
1,3,male,27.0,0,0,7.7958,Third,man,Southampton
0,3,female,9.0,2,2,34.375,Third,child,Southampton
0,2,male,36.5,0,2,26.0,Second,man,Southampton
0,2,male,42.0,0,0,13.0,Second,man,Southampton
0,2,male,51.0,0,0,12.525,Second,man,Southampton
1,1,female,22.0,1,0,66.6,First,woman,Southampton
0,3,male,55.5,0,0,8.05,Third,man,Southampton
0,3,male,40.5,0,2,14.5,Third,man,Southampton
0,3,male,,0,0,7.3125,Third,man,Southampton
0,1,male,51.0,0,1,61.3792,First,man,Cherbourg
1,3,female,16.0,0,0,7.7333,Third,woman,Queenstown
0,3,male,30.0,0,0,8.05,Third,man,Southampton
0,3,male,,0,0,8.6625,Third,man,Southampton
0,3,male,,8,2,69.55,Third,man,Southampton
0,3,male,44.0,0,1,16.1,Third,man,Southampton
1,2,female,40.0,0,0,15.75,Second,woman,Southampton
0,3,male,26.0,0,0,7.775,Third,man,Southampton
0,3,male,17.0,0,0,8.6625,Third,man,Southampton
0,3,male,1.0,4,1,39.6875,Third,child,Southampton
1,3,male,9.0,0,2,20.525,Third,child,Southampton
1,1,female,,0,1,55.0,First,woman,Southampton
0,3,female,45.0,1,4,27.9,Third,woman,Southampton
0,1,male,,0,0,25.925,First,man,Southampton
0,3,male,28.0,0,0,56.4958,Third,man,Southampton
0,1,male,61.0,0,0,33.5,First,man,Southampton
0,3,male,4.0,4,1,29.125,Third,child,Queenstown
1,3,female,1.0,1,1,11.1333,Third,child,Southampton
0,3,male,21.0,0,0,7.925,Third,man,Southampton
0,1,male,56.0,0,0,30.6958,First,man,Cherbourg
0,3,male,18.0,1,1,7.8542,Third,man,Southampton
0,3,male,,3,1,25.4667,Third,man,Southampton
0,1,female,50.0,0,0,28.7125,First,woman,Cherbourg
0,2,male,30.0,0,0,13.0,Second,man,Southampton
0,3,male,36.0,0,0,0.0,Third,man,Southampton
0,3,female,,8,2,69.55,Third,woman,Southampton
0,2,male,,0,0,15.05,Second,man,Cherbourg
0,3,male,9.0,4,2,31.3875,Third,child,Southampton
1,2,male,1.0,2,1,39.0,Second,child,Southampton
1,3,female,4.0,0,2,22.025,Third,child,Southampton
0,1,male,,0,0,50.0,First,man,Southampton
1,3,female,,1,0,15.5,Third,woman,Queenstown
1,1,male,45.0,0,0,26.55,First,man,Southampton
0,3,male,40.0,1,1,15.5,Third,man,Queenstown
0,3,male,36.0,0,0,7.8958,Third,man,Southampton
1,2,female,32.0,0,0,13.0,Second,woman,Southampton
0,2,male,19.0,0,0,13.0,Second,man,Southampton
1,3,female,19.0,1,0,7.8542,Third,woman,Southampton
1,2,male,3.0,1,1,26.0,Second,child,Southampton
1,1,female,44.0,0,0,27.7208,First,woman,Cherbourg
1,1,female,58.0,0,0,146.5208,First,woman,Cherbourg
0,3,male,,0,0,7.75,Third,man,Queenstown
0,3,male,42.0,0,1,8.4042,Third,man,Southampton
1,3,female,,0,0,7.75,Third,woman,Queenstown
0,2,female,24.0,0,0,13.0,Second,woman,Southampton
0,3,male,28.0,0,0,9.5,Third,man,Southampton
0,3,male,,8,2,69.55,Third,man,Southampton
0,3,male,34.0,0,0,6.4958,Third,man,Southampton
0,3,male,45.5,0,0,7.225,Third,man,Cherbourg
1,3,male,18.0,0,0,8.05,Third,man,Southampton
0,3,female,2.0,0,1,10.4625,Third,child,Southampton
0,3,male,32.0,1,0,15.85,Third,man,Southampton
1,3,male,26.0,0,0,18.7875,Third,man,Cherbourg
1,3,female,16.0,0,0,7.75,Third,woman,Queenstown
1,1,male,40.0,0,0,31.0,First,man,Cherbourg
0,3,male,24.0,0,0,7.05,Third,man,Southampton
1,2,female,35.0,0,0,21.0,Second,woman,Southampton
0,3,male,22.0,0,0,7.25,Third,man,Southampton
0,2,male,30.0,0,0,13.0,Second,man,Southampton
0,3,male,,1,0,7.75,Third,man,Queenstown
1,1,female,31.0,1,0,113.275,First,woman,Cherbourg
1,3,female,27.0,0,0,7.925,Third,woman,Southampton
0,2,male,42.0,1,0,27.0,Second,man,Southampton
1,1,female,32.0,0,0,76.2917,First,woman,Cherbourg
0,2,male,30.0,0,0,10.5,Second,man,Southampton
1,3,male,16.0,0,0,8.05,Third,man,Southampton
0,2,male,27.0,0,0,13.0,Second,man,Southampton
0,3,male,51.0,0,0,8.05,Third,man,Southampton
0,3,male,,0,0,7.8958,Third,man,Southampton
1,1,male,38.0,1,0,90.0,First,man,Southampton
0,3,male,22.0,0,0,9.35,Third,man,Southampton
1,2,male,19.0,0,0,10.5,Second,man,Southampton
0,3,male,20.5,0,0,7.25,Third,man,Southampton
0,2,male,18.0,0,0,13.0,Second,man,Southampton
0,3,female,,3,1,25.4667,Third,woman,Southampton
1,1,female,35.0,1,0,83.475,First,woman,Southampton
0,3,male,29.0,0,0,7.775,Third,man,Southampton
0,2,male,59.0,0,0,13.5,Second,man,Southampton
1,3,female,5.0,4,2,31.3875,Third,child,Southampton
0,2,male,24.0,0,0,10.5,Second,man,Southampton
0,3,female,,0,0,7.55,Third,woman,Southampton
0,2,male,44.0,1,0,26.0,Second,man,Southampton
1,2,female,8.0,0,2,26.25,Second,child,Southampton
0,2,male,19.0,0,0,10.5,Second,man,Southampton
0,2,male,33.0,0,0,12.275,Second,man,Southampton
0,3,female,,1,0,14.4542,Third,woman,Cherbourg
1,3,female,,1,0,15.5,Third,woman,Queenstown
0,2,male,29.0,0,0,10.5,Second,man,Southampton
0,3,male,22.0,0,0,7.125,Third,man,Southampton
0,3,male,30.0,0,0,7.225,Third,man,Cherbourg
0,1,male,44.0,2,0,90.0,First,man,Queenstown
0,3,female,25.0,0,0,7.775,Third,woman,Southampton
1,2,female,24.0,0,2,14.5,Second,woman,Southampton
1,1,male,37.0,1,1,52.5542,First,man,Southampton
0,2,male,54.0,1,0,26.0,Second,man,Southampton
0,3,male,,0,0,7.25,Third,man,Southampton
0,3,female,29.0,1,1,10.4625,Third,woman,Southampton
0,1,male,62.0,0,0,26.55,First,man,Southampton
0,3,male,30.0,1,0,16.1,Third,man,Southampton
0,3,female,41.0,0,2,20.2125,Third,woman,Southampton
1,3,female,29.0,0,2,15.2458,Third,woman,Cherbourg
1,1,female,,0,0,79.2,First,woman,Cherbourg
1,1,female,30.0,0,0,86.5,First,woman,Southampton
1,1,female,35.0,0,0,512.3292,First,woman,Cherbourg
1,2,female,50.0,0,1,26.0,Second,woman,Southampton
0,3,male,,0,0,7.75,Third,man,Queenstown
1,3,male,3.0,4,2,31.3875,Third,child,Southampton
0,1,male,52.0,1,1,79.65,First,man,Southampton
0,1,male,40.0,0,0,0.0,First,man,Southampton
0,3,female,,0,0,7.75,Third,woman,Queenstown
0,2,male,36.0,0,0,10.5,Second,man,Southampton
0,3,male,16.0,4,1,39.6875,Third,man,Southampton
1,3,male,25.0,1,0,7.775,Third,man,Southampton
1,1,female,58.0,0,1,153.4625,First,woman,Southampton
1,1,female,35.0,0,0,135.6333,First,woman,Southampton
0,1,male,,0,0,31.0,First,man,Southampton
1,3,male,25.0,0,0,0.0,Third,man,Southampton
1,2,female,41.0,0,1,19.5,Second,woman,Southampton
0,1,male,37.0,0,1,29.7,First,man,Cherbourg
1,3,female,,0,0,7.75,Third,woman,Queenstown
1,1,female,63.0,1,0,77.9583,First,woman,Southampton
0,3,female,45.0,0,0,7.75,Third,woman,Southampton
0,2,male,,0,0,0.0,Second,man,Southampton
0,3,male,7.0,4,1,29.125,Third,child,Queenstown
1,3,female,35.0,1,1,20.25,Third,woman,Southampton
0,3,male,65.0,0,0,7.75,Third,man,Queenstown
0,3,male,28.0,0,0,7.8542,Third,man,Southampton
0,3,male,16.0,0,0,9.5,Third,man,Southampton
1,3,male,19.0,0,0,8.05,Third,man,Southampton
0,1,male,,0,0,26.0,First,man,Southampton
0,3,male,33.0,0,0,8.6625,Third,man,Cherbourg
1,3,male,30.0,0,0,9.5,Third,man,Southampton
0,3,male,22.0,0,0,7.8958,Third,man,Southampton
1,2,male,42.0,0,0,13.0,Second,man,Southampton
1,3,female,22.0,0,0,7.75,Third,woman,Queenstown
1,1,female,26.0,0,0,78.85,First,woman,Southampton
1,1,female,19.0,1,0,91.0792,First,woman,Cherbourg
0,2,male,36.0,0,0,12.875,Second,man,Cherbourg
0,3,female,24.0,0,0,8.85,Third,woman,Southampton
0,3,male,24.0,0,0,7.8958,Third,man,Southampton
0,1,male,,0,0,27.7208,First,man,Cherbourg
0,3,male,23.5,0,0,7.2292,Third,man,Cherbourg
0,1,female,2.0,1,2,151.55,First,child,Southampton
1,1,male,,0,0,30.5,First,man,Southampton
1,1,female,50.0,0,1,247.5208,First,woman,Cherbourg
1,3,female,,0,0,7.75,Third,woman,Queenstown
1,3,male,,2,0,23.25,Third,man,Queenstown
0,3,male,19.0,0,0,0.0,Third,man,Southampton
1,2,female,,0,0,12.35,Second,woman,Queenstown
0,3,male,,0,0,8.05,Third,man,Southampton
1,1,male,0.92,1,2,151.55,First,child,Southampton
1,1,female,,0,0,110.8833,First,woman,Cherbourg
1,1,female,17.0,1,0,108.9,First,woman,Cherbourg
0,2,male,30.0,1,0,24.0,Second,man,Cherbourg
1,1,female,30.0,0,0,56.9292,First,woman,Cherbourg
1,1,female,24.0,0,0,83.1583,First,woman,Cherbourg
1,1,female,18.0,2,2,262.375,First,woman,Cherbourg
0,2,female,26.0,1,1,26.0,Second,woman,Southampton
0,3,male,28.0,0,0,7.8958,Third,man,Southampton
0,2,male,43.0,1,1,26.25,Second,man,Southampton
1,3,female,26.0,0,0,7.8542,Third,woman,Southampton
1,2,female,24.0,1,0,26.0,Second,woman,Southampton
0,2,male,54.0,0,0,14.0,Second,man,Southampton
1,1,female,31.0,0,2,164.8667,First,woman,Southampton
1,1,female,40.0,1,1,134.5,First,woman,Cherbourg
0,3,male,22.0,0,0,7.25,Third,man,Southampton
0,3,male,27.0,0,0,7.8958,Third,man,Southampton
1,2,female,30.0,0,0,12.35,Second,woman,Queenstown
1,2,female,22.0,1,1,29.0,Second,woman,Southampton
0,3,male,,8,2,69.55,Third,man,Southampton
1,1,female,36.0,0,0,135.6333,First,woman,Cherbourg
0,3,male,61.0,0,0,6.2375,Third,man,Southampton
1,2,female,36.0,0,0,13.0,Second,woman,Southampton
1,3,female,31.0,1,1,20.525,Third,woman,Southampton
1,1,female,16.0,0,1,57.9792,First,woman,Cherbourg
1,3,female,,2,0,23.25,Third,woman,Queenstown
0,1,male,45.5,0,0,28.5,First,man,Southampton
0,1,male,38.0,0,1,153.4625,First,man,Southampton
0,3,male,16.0,2,0,18.0,Third,man,Southampton
1,1,female,,1,0,133.65,First,woman,Southampton
0,3,male,,0,0,7.8958,Third,man,Southampton
0,1,male,29.0,1,0,66.6,First,man,Southampton
1,1,female,41.0,0,0,134.5,First,woman,Cherbourg
1,3,male,45.0,0,0,8.05,Third,man,Southampton
0,1,male,45.0,0,0,35.5,First,man,Southampton
1,2,male,2.0,1,1,26.0,Second,child,Southampton
1,1,female,24.0,3,2,263.0,First,woman,Southampton
0,2,male,28.0,0,0,13.0,Second,man,Southampton
0,2,male,25.0,0,0,13.0,Second,man,Southampton
0,2,male,36.0,0,0,13.0,Second,man,Southampton
1,2,female,24.0,0,0,13.0,Second,woman,Southampton
1,2,female,40.0,0,0,13.0,Second,woman,Southampton
1,3,female,,1,0,16.1,Third,woman,Southampton
1,3,male,3.0,1,1,15.9,Third,child,Southampton
0,3,male,42.0,0,0,8.6625,Third,man,Southampton
0,3,male,23.0,0,0,9.225,Third,man,Southampton
0,1,male,,0,0,35.0,First,man,Southampton
0,3,male,15.0,1,1,7.2292,Third,child,Cherbourg
0,3,male,25.0,1,0,17.8,Third,man,Southampton
0,3,male,,0,0,7.225,Third,man,Cherbourg
0,3,male,28.0,0,0,9.5,Third,man,Southampton
1,1,female,22.0,0,1,55.0,First,woman,Southampton
0,2,female,38.0,0,0,13.0,Second,woman,Southampton
1,3,female,,0,0,7.8792,Third,woman,Queenstown
1,3,female,,0,0,7.8792,Third,woman,Queenstown
0,3,male,40.0,1,4,27.9,Third,man,Southampton
0,2,male,29.0,1,0,27.7208,Second,man,Cherbourg
0,3,female,45.0,0,1,14.4542,Third,woman,Cherbourg
0,3,male,35.0,0,0,7.05,Third,man,Southampton
0,3,male,,1,0,15.5,Third,man,Queenstown
0,3,male,30.0,0,0,7.25,Third,man,Southampton
1,1,female,60.0,1,0,75.25,First,woman,Cherbourg
1,3,female,,0,0,7.2292,Third,woman,Cherbourg
1,3,female,,0,0,7.75,Third,woman,Queenstown
1,1,female,24.0,0,0,69.3,First,woman,Cherbourg
1,1,male,25.0,1,0,55.4417,First,man,Cherbourg
0,3,male,18.0,1,0,6.4958,Third,man,Southampton
0,3,male,19.0,0,0,8.05,Third,man,Southampton
0,1,male,22.0,0,0,135.6333,First,man,Cherbourg
0,3,female,3.0,3,1,21.075,Third,child,Southampton
1,1,female,,1,0,82.1708,First,woman,Cherbourg
1,3,female,22.0,0,0,7.25,Third,woman,Southampton
0,1,male,27.0,0,2,211.5,First,man,Cherbourg
0,3,male,20.0,0,0,4.0125,Third,man,Cherbourg
0,3,male,19.0,0,0,7.775,Third,man,Southampton
1,1,female,42.0,0,0,227.525,First,woman,Cherbourg
1,3,female,1.0,0,2,15.7417,Third,child,Cherbourg
0,3,male,32.0,0,0,7.925,Third,man,Southampton
1,1,female,35.0,1,0,52.0,First,woman,Southampton
0,3,male,,0,0,7.8958,Third,man,Southampton
0,2,male,18.0,0,0,73.5,Second,man,Southampton
0,3,male,1.0,5,2,46.9,Third,child,Southampton
1,2,female,36.0,0,0,13.0,Second,woman,Southampton
0,3,male,,0,0,7.7292,Third,man,Queenstown
1,2,female,17.0,0,0,12.0,Second,woman,Cherbourg
1,1,male,36.0,1,2,120.0,First,man,Southampton
1,3,male,21.0,0,0,7.7958,Third,man,Southampton
0,3,male,28.0,2,0,7.925,Third,man,Southampton
1,1,female,23.0,1,0,113.275,First,woman,Cherbourg
1,3,female,24.0,0,2,16.7,Third,woman,Southampton
0,3,male,22.0,0,0,7.7958,Third,man,Southampton
0,3,female,31.0,0,0,7.8542,Third,woman,Southampton
0,2,male,46.0,0,0,26.0,Second,man,Southampton
0,2,male,23.0,0,0,10.5,Second,man,Southampton
1,2,female,28.0,0,0,12.65,Second,woman,Southampton
1,3,male,39.0,0,0,7.925,Third,man,Southampton
0,3,male,26.0,0,0,8.05,Third,man,Southampton
0,3,female,21.0,1,0,9.825,Third,woman,Southampton
0,3,male,28.0,1,0,15.85,Third,man,Southampton
0,3,female,20.0,0,0,8.6625,Third,woman,Southampton
0,2,male,34.0,1,0,21.0,Second,man,Southampton
0,3,male,51.0,0,0,7.75,Third,man,Southampton
1,2,male,3.0,1,1,18.75,Second,child,Southampton
0,3,male,21.0,0,0,7.775,Third,man,Southampton
0,3,female,,3,1,25.4667,Third,woman,Southampton
0,3,male,,0,0,7.8958,Third,man,Southampton
0,3,male,,0,0,6.8583,Third,man,Queenstown
1,1,female,33.0,1,0,90.0,First,woman,Queenstown
0,2,male,,0,0,0.0,Second,man,Southampton
1,3,male,44.0,0,0,7.925,Third,man,Southampton
0,3,female,,0,0,8.05,Third,woman,Southampton
1,2,female,34.0,1,1,32.5,Second,woman,Southampton
1,2,female,18.0,0,2,13.0,Second,woman,Southampton
0,2,male,30.0,0,0,13.0,Second,man,Southampton
0,3,female,10.0,0,2,24.15,Third,child,Southampton
0,3,male,,0,0,7.8958,Third,man,Cherbourg
0,3,male,21.0,0,0,7.7333,Third,man,Queenstown
0,3,male,29.0,0,0,7.875,Third,man,Southampton
0,3,female,28.0,1,1,14.4,Third,woman,Southampton
0,3,male,18.0,1,1,20.2125,Third,man,Southampton
0,3,male,,0,0,7.25,Third,man,Southampton
1,2,female,28.0,1,0,26.0,Second,woman,Southampton
1,2,female,19.0,0,0,26.0,Second,woman,Southampton
0,3,male,,0,0,7.75,Third,man,Queenstown
1,3,male,32.0,0,0,8.05,Third,man,Southampton
1,1,male,28.0,0,0,26.55,First,man,Southampton
1,3,female,,1,0,16.1,Third,woman,Southampton
1,2,female,42.0,1,0,26.0,Second,woman,Southampton
0,3,male,17.0,0,0,7.125,Third,man,Southampton
0,1,male,50.0,1,0,55.9,First,man,Southampton
1,1,female,14.0,1,2,120.0,First,child,Southampton
0,3,female,21.0,2,2,34.375,Third,woman,Southampton
1,2,female,24.0,2,3,18.75,Second,woman,Southampton
0,1,male,64.0,1,4,263.0,First,man,Southampton
0,2,male,31.0,0,0,10.5,Second,man,Southampton
1,2,female,45.0,1,1,26.25,Second,woman,Southampton
0,3,male,20.0,0,0,9.5,Third,man,Southampton
0,3,male,25.0,1,0,7.775,Third,man,Southampton
